turn_id,pause_index,p_eot
hi__079,1,0.1375
hi__079,2,0.8825
hi__080,0,0.2358
hi__080,1,0.5381
hi__081,0,0.2838
hi__081,1,0.7516
hi__081,2,0.7958
hi__082,0,0.8091
hi__083,0,0.4041
hi__084,0,0.7468
hi__085,0,0.1504
hi__085,1,0.7391
hi__085,2,0.5099
hi__086,0,0.2993
hi__086,1,0.5014
hi__087,0,0.4813
hi__087,1,0.3707
hi__087,2,0.9109
hi__088,0,0.1045
hi__088,1,0.3680
hi__088,2,0.6419
hi__089,0,0.2901
hi__089,1,0.1665
hi__089,2,0.6363
hi__090,0,0.4909
hi__090,1,0.6710
hi__090,2,0.6019
hi__090,3,0.6123
hi__091,0,0.7864
hi__092,0,0.4456
hi__093,0,0.3636
hi__094,0,0.1525
hi__094,1,0.4463
hi__094,2,0.7127
hi__094,3,0.0682
hi__094,4,0.5918
hi__094,5,0.7967
hi__095,0,0.4178
hi__095,1,0.3592
hi__096,0,0.1247
hi__096,1,0.3438
hi__096,2,0.2110
hi__096,3,0.4872
hi__097,0,0.1769
hi__097,1,0.6193
hi__097,2,0.3548
hi__097,3,0.4837
hi__097,4,0.4464
hi__097,5,0.5391
hi__098,0,0.5714
hi__099,0,0.3821
hi__099,1,0.5286
